new_ID,Travel-accompany2,Q3,Q3_gr,Q3A,Q3B,Q3C,Q3D,Q3E,Child,Adult,Final_Group_Q3,Returned_Travel_Accompany,Accompaniment_schoolreturn,Fluctuation#7,Q7A,Q7B,Q7C,Q7D,Q7E,Child,Adult,Age,Duplicate,Gender,Grade,TYPEOFSC,shift_school,School transport,Transport_2or3wheelers,Travel_Accompany,Travel-accompany1,Travel-accompany2,TimeSchool,time_school,SchoolHomeTransport,home_schooltransportusual,Returned_Travel_Accompany,Parents_Trust,Cross_road,Allow_Public_Bus,Visit_Friend_Home,Visit_Relatives,Worship_Place,Visit_Shop,Dineout,Visit_Cinema,Friends_Dark,Play_Ground,Play_Score,Went_for_Walk,Went_Concert,Went_Club,Library,Café,Tuition,Part_time_work,Any_Activity,activity_alone,activity_independent,Q15R,weekend,RTI,RTI_Consult,
451,Mix,Mix,Mixed,0,1,0,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,10,10,Girl,6,Private,morning shift only,walk,Walking,Mix,Mix,Mix,< 5 mins,15 min or less,Walking,walk,Mix,Sometime,Yes,Yes,With a parent or other adult,With a parent or other adult,Not Done,On Your own or with other young person,With a parent or other adult,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
836,Mix,Mix,Mixed,0,1,0,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,10,10,Girl,6,Public,morning shift only,walk,Walking,Mix,Mix,Mix,< 5 mins,15 min or less,Walking,walk,Mix,Sometime,No,No,On Your own or with other young person,On Your own or with other young person,On Your own or with other young person,On Your own or with other young person,On Your own or with other young person,With a parent or other adult,With a parent or other adult,On Your own or with other young person,With a parent or other adult,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
4,Alone/Same Age,Alone/Same Age,Child,0,0,0,1,0,1,0,Child,Mix,Mixed,TRUE,0,1,0,0,1,1,1,11,11,Boy,6,Private,morning shift only,walk,Walking,Older child / teenager,Alone/Same Age,Alone/Same Age,5 to 15 mins,15 min or less,Motorbike,2 or 3 wheelers,Mix,Sometime,No,No,On Your own or with other young person,Not Done,On Your own or with other young person,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
70,Mix,Mix,Mixed,0,1,0,1,0,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,1,0,1,1,11,11,Girl,6,Private,morning shift only,walk,Walking,Mix,Mix,Mix,5 to 15 mins,15 min or less,Walking,walk,Mix,Always,Yes,No,Not Done,With a parent or other adult,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
347,Mix,Mix,Mixed,0,1,0,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,11,11,Girl,6,Private,morning shift only,Car,Four wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,Car,4 wheelers,Mix,Sometime,No,No,Not Done,With a parent or other adult,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
352,Mix,Mix,Mixed,0,1,0,1,0,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,1,0,1,1,11,11,Boy,6,Private,morning shift only,Motorcycle,2 or 3 wheelers,Mix,Mix,Mix,< 5 mins,15 min or less,Walking,2 or 3 wheelers,Mix,Always,Yes,No,On Your own or with other young person,With a parent or other adult,With a parent or other adult,On Your own or with other young person,With a parent or other adult,Not Done,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,1,0,#REF!
354,Mix,Mix,Mixed,0,1,0,1,0,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,11,11,Boy,6,Private,morning shift only,Car,Four wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,Motorbike,2 or 3 wheelers,Mix,Always,Yes,No,Not Done,With a parent or other adult,With a parent or other adult,On Your own or with other young person,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,1,1,#REF!
545,Merged Parent and Adult,Merged Parent and Adult,Adult,0,1,0,0,0,0,1,Adult,Mix,Mixed,TRUE,0,0,1,0,1,1,1,11,11,Girl,7,Private,morning shift only,walk,Walking,Parent,Parent,Merged Parent and Adult,5 to 15 mins,15 min or less,School Van,4 wheelers,Mix,Always,No,No,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
575,Mix,Mix,Mixed,0,1,0,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,11,11,Girl,7,Private,morning shift only,Motorcycle,2 or 3 wheelers,Mix,Mix,Mix,31 to 45 mins,more than 30 min,Motorbike,2 or 3 wheelers,Mix,Sometime,No,No,Not Done,With a parent or other adult,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,With a parent or other adult,On Your own or with other young person,On Your own or with other young person,With a parent or other adult,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
2,Mix,Mix,Mixed,0,1,0,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,12,12,Boy,6,Private,morning shift only,Car,Four wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,Car,4 wheelers,Mix,Sometime,No,No,Not Done,With a parent or other adult,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
